Id,Label,timeset,modularity_class,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
albertperico,albertperico,,6,0,7,7,0,7,7,13,0.120922,0.156154,0
TuraTF,TuraTF,,1,0,9,9,0,12,12,9,0.184434,0.227844,0
les_pedretes,les_pedretes,,2,0,6,6,0,7,7,9,0.204978,0.237769,0
cota3143,cota3143,,4,0,13,13,0,17,17,8,0.249332,0.311229,0
danielsalvado,danielsalvado,,2,8,0,8,8,0,8,0,0,0,0
LuciaVidaldePu1,LuciaVidaldePu1,,2,0,9,9,0,9,9,2,0.621622,0.695652,0
Vilacm2,Vilacm2,,7,1,7,8,1,11,12,8,0.206408,0.243201,67.1
aleixsarri,aleixsarri,,6,6,1,7,7,2,9,1,1,1,2.233333
llunavermella,llunavermella,,7,0,7,7,0,10,10,10,0.167168,0.197745,0
XSalaimartin,XSalaimartin,,1,13,0,13,13,0,13,0,0,0,0
dolcanina,dolcanina,,4,0,8,8,0,9,9,8,0.217799,0.259319,0
LibertoPalauSer,LibertoPalauSer,,2,1,12,13,1,14,15,8,0.238258,0.298033,244.02381
MLiceranNieto,MLiceranNieto,,2,0,5,5,0,5,5,13,0.122242,0.150501,0
las3eses1,las3eses1,,2,0,8,8,0,13,13,10,0.191856,0.244761,0
peronelladarago,peronelladarago,,4,4,2,6,4,2,6,9,0.209886,0.237061,352.293146
LuisJos57675062,LuisJos57675062,,2,0,24,24,0,34,34,8,0.294615,0.374599,0
xavidomenech99,xavidomenech99,,3,3,3,6,3,3,6,10,0.192603,0.223738,5136.129935
lluis_llach,lluis_llach,,7,2,3,5,2,5,7,1,1,1,120.675
dvdjl73,dvdjl73,,1,0,9,9,0,21,21,11,0.154875,0.188989,0
margaritafontr,margaritafontr,,6,0,8,8,0,9,9,13,0.125567,0.165469,0
ShaAcabat,ShaAcabat,,7,6,0,6,7,0,7,0,0,0,0
yakimalalimpia,yakimalalimpia,,2,1,5,6,1,5,6,1,1,1,0
PilarHLuc,PilarHLuc,,2,49,1,50,63,6,69,0,0,0,0
Virgili7,Virgili7,,1,3,6,9,3,6,9,10,0.185111,0.228507,17452.356132
Nuria363,Nuria363,,2,0,5,5,0,5,5,11,0.163037,0.192179,0
lolalailo,lolalailo,,1,0,12,12,0,14,14,9,0.233691,0.293767,0
CatalanetE,CatalanetE,,1,4,10,14,5,10,15,11,0.143744,0.182884,131.933333
caputxetadepics,caputxetadepics,,2,0,7,7,0,9,9,10,0.188132,0.224144,0
Guialcoaching,Guialcoaching,,1,5,15,20,5,15,20,10,0.180984,0.233185,2895.816964
LarssonMontse,LarssonMontse,,6,0,14,14,0,14,14,9,0.211612,0.267165,0
RTapiasCors,RTapiasCors,,6,0,6,6,0,7,7,9,0.2159,0.254523,0
rcpuig94,rcpuig94,,6,2,6,8,2,9,11,2,0.875,0.928571,12.25
abague60,abague60,,6,0,9,9,0,9,9,14,0.11472,0.156268,0
VilaViladrosa,VilaViladrosa,,6,0,6,6,0,7,7,10,0.194425,0.232988,0
josepm_giner,josepm_giner,,2,0,7,7,0,8,8,9,0.211684,0.250014,0
either_mark,either_mark,,4,3,5,8,3,8,11,9,0.215794,0.254539,1397.727273
Pepsina_Mataro,Pepsina_Mataro,,6,21,0,21,21,0,21,0,0,0,0
ESTRELA_ROJA,ESTRELA_ROJA,,5,2,4,6,3,21,24,11,0.139279,0.15942,2.25
Juanmi_News,Juanmi_News,,1,7,1,8,7,1,8,0,0,0,0
premianencs,premianencs,,7,0,8,8,0,10,10,9,0.204545,0.255428,0
BeatrizTalegon,BeatrizTalegon,,1,6,0,6,6,0,6,0,0,0,0
Otger68,Otger68,,2,0,8,8,0,9,9,9,0.215397,0.257682,0
Seny_i_rauxa,Seny_i_rauxa,,2,0,9,9,0,9,9,10,0.187332,0.240869,0
cava_SEdR,cava_SEdR,,3,0,6,6,0,7,7,10,0.199286,0.239129,0
jromeug,jromeug,,1,2,6,8,2,7,9,3,0.571429,0.708333,14.480952
ArenosPepa,ArenosPepa,,7,0,8,8,0,15,15,2,0.642857,0.722222,0
EmDicMerce,EmDicMerce,,1,0,13,13,0,14,14,7,0.267925,0.325956,0
TRoderic,TRoderic,,2,9,2,11,10,3,13,1,1,1,7
MsSamsoroca,MsSamsoroca,,2,0,8,8,0,13,13,10,0.174433,0.212272,0
MERMI69,MERMI69,,2,0,7,7,0,10,10,13,0.124271,0.159399,0
dracdolot,dracdolot,,2,41,0,41,41,0,41,0,0,0,0
EmmaGon2,EmmaGon2,,4,0,6,6,0,6,6,12,0.14006,0.169711,0
NoEsPotCat,NoEsPotCat,,2,25,0,25,29,0,29,0,0,0,0
Cjaumev,Cjaumev,,3,0,9,9,0,9,9,9,0.21555,0.264396,0
CxRSabadell,CxRSabadell,,3,12,1,13,12,1,13,0,0,0,0
ramonone55,ramonone55,,2,0,14,14,0,23,23,9,0.21517,0.273705,0
trapella1714,trapella1714,,7,7,2,9,7,2,9,10,0.160652,0.178947,101.144481
marichmoda2,marichmoda2,,2,0,6,6,0,6,6,9,0.184421,0.219038,0
solaagnes,solaagnes,,7,0,9,9,0,11,11,15,0.092691,0.124353,0
Laksmizz,Laksmizz,,4,7,1,8,7,2,9,10,0.160186,0.175746,272.416667
DewCatalunya,DewCatalunya,,3,2,4,6,2,4,6,15,0.091958,0.107816,0
comuni_cats,comuni_cats,,3,14,1,15,14,1,15,1,1,1,95.578571
Eratolyre,Eratolyre,,2,73,1,74,73,1,74,1,1,1,124.916667
AngieCa94256510,AngieCa94256510,,2,24,1,25,24,1,25,0,0,0,0
Anna77548272,Anna77548272,,2,0,6,6,0,8,8,15,0.091661,0.114644,0
Carme86154050,Carme86154050,,4,0,6,6,0,9,9,8,0.21811,0.252725,0
Araselicg,Araselicg,,2,0,5,5,0,5,5,9,0.205621,0.249586,0
MelindaCatalan,MelindaCatalan,,2,0,8,8,0,8,8,11,0.156459,0.191891,0
oscarsemtts,oscarsemtts,,1,0,7,7,0,7,7,10,0.166767,0.203041,0
RSUAREZ4,RSUAREZ4,,4,53,3,56,68,3,71,9,0.190476,0.216992,3591.707606
Alberto97246103,Alberto97246103,,2,0,11,11,0,12,12,10,0.176997,0.225446,0
kmaleonmanel,kmaleonmanel,,2,0,7,7,0,8,8,10,0.174984,0.211362,0
La_Palo_62,La_Palo_62,,2,7,2,9,8,2,10,1,1,1,16.583333
FlotatM,FlotatM,,2,0,13,13,0,15,15,9,0.239243,0.292109,0
manelrainers,manelrainers,,1,0,8,8,0,11,11,9,0.201601,0.241773,0
Estellencs1,Estellencs1,,2,0,9,9,0,11,11,9,0.186031,0.225652,0
Celiaizq,Celiaizq,,6,0,5,5,0,6,6,2,0.857143,0.916667,0
freed4Catalonia,freed4Catalonia,,2,0,5,5,0,9,9,1,1,1,0
CROcultura1,CROcultura1,,4,6,10,16,8,18,26,8,0.268744,0.326863,20735.895414
JoseMar72168618,JoseMar72168618,,4,1,19,20,1,27,28,8,0.251366,0.3245,5691.888755
338iol,338iol,,2,0,12,12,0,14,14,9,0.204713,0.253125,0
lulu6019,lulu6019,,7,0,15,15,0,20,20,8,0.247569,0.305672,0
txellblanxer,txellblanxer,,2,0,9,9,0,9,9,10,0.173777,0.218149,0
ABalagu,ABalagu,,4,97,5,102,129,8,137,8,0.246209,0.293129,40613.203635
llubaps,llubaps,,2,78,3,81,79,4,83,10,0.17795,0.199976,6259.399384
sotoarmengol,sotoarmengol,,2,3,6,9,11,14,25,10,0.165378,0.191113,197.432359
f2008friends,f2008friends,,4,0,9,9,0,11,11,9,0.217085,0.265465,0
ConnorJHO,ConnorJHO,,7,9,0,9,9,0,9,0,0,0,0
franksierrafoto,franksierrafoto,,1,0,5,5,0,7,7,13,0.121705,0.148144,0
Llunas3,Llunas3,,7,0,10,10,0,27,27,10,0.191431,0.236988,0
Reagrupament,Reagrupament,,6,12,0,12,14,0,14,0,0,0,0
edp,edp,,2,3,2,5,3,4,7,2,0.625,0.7,818.5
vctor92305336,vctor92305336,,2,0,7,7,0,10,10,9,0.186954,0.219242,0
cbonaventura,cbonaventura,,6,1,10,11,1,13,14,10,0.170581,0.209761,2419.248016
jaumetrullas,jaumetrullas,,6,0,6,6,0,6,6,9,0.188692,0.222825,0
Roger_Lluriach,Roger_Lluriach,,2,0,7,7,0,12,12,10,0.187797,0.226274,0
Ssuricat,Ssuricat,,3,0,7,7,0,8,8,9,0.210287,0.253631,0
JPeiroV,JPeiroV,,1,7,11,18,9,11,20,9,0.206326,0.251744,597.105952
mcote16,mcote16,,7,0,5,5,0,7,7,9,0.191298,0.225027,0
Lena41384087,Lena41384087,,1,0,7,7,0,9,9,1,1,1,0
marjose_bcn,marjose_bcn,,2,0,6,6,0,6,6,11,0.155182,0.188921,0
nyecnyec,nyecnyec,,2,8,12,20,12,17,29,10,0.175908,0.221607,2635.127345
Opticaroures,Opticaroures,,2,0,6,6,0,8,8,3,0.578947,0.727273,0
Josepm48579968,Josepm48579968,,7,0,5,5,0,8,8,12,0.13276,0.162142,0
thecatalancbf,thecatalancbf,,2,5,0,5,5,0,5,0,0,0,0
byebyeEsp,byebyeEsp,,3,0,6,6,0,6,6,9,0.206871,0.245496,0
MAxiuxiueig,MAxiuxiueig,,6,0,5,5,0,6,6,8,0.23096,0.27069,0
jmpelleja,jmpelleja,,2,0,11,11,0,12,12,8,0.237489,0.284486,0
filog3,filog3,,2,0,14,14,0,18,18,8,0.267308,0.3219,0
Neus76324905,Neus76324905,,6,0,7,7,0,7,7,10,0.181046,0.216824,0
puigamer,puigamer,,4,0,5,5,0,5,5,9,0.206999,0.246694,0
11joan2,11joan2,,7,1,10,11,1,14,15,10,0.166469,0.205091,276
Montsinova2,Montsinova2,,2,15,2,17,21,2,23,11,0.161877,0.185781,2333.465873
msaltorviver,msaltorviver,,6,0,5,5,0,5,5,9,0.2,0.232868,0
nuriamcat,nuriamcat,,0,17,6,23,43,19,62,10,0.183877,0.222195,74.49934
varoufakis3,varoufakis3,,4,45,0,45,65,0,65,0,0,0,0
en_neg,en_neg,,2,0,6,6,0,6,6,9,0.231219,0.283459,0
oscarpla_57,oscarpla_57,,2,37,0,37,41,0,41,0,0,0,0
gallifantes,gallifantes,,1,10,0,10,11,0,11,0,0,0,0
cervera_jess,cervera_jess,,7,1,6,7,2,6,8,9,0.20473,0.23977,29.45
ccorti80,ccorti80,,1,2,4,6,2,4,6,9,0.230384,0.262877,153.683045
An77Ver,An77Ver,,7,0,19,19,0,23,23,7,0.290155,0.358537,0
Marcel07581100,Marcel07581100,,6,0,12,12,0,14,14,9,0.209531,0.262432,0
jjvidal1,jjvidal1,,1,30,7,37,33,7,40,10,0.179571,0.218322,7595.404624
AnaFern52249672,AnaFern52249672,,6,0,6,6,0,9,9,2,0.8,0.875,0
Tcom_g,Tcom_g,,1,0,7,7,0,7,7,8,0.226122,0.265897,0
Liz_beth_GB,Liz_beth_GB,,1,2,7,9,2,10,12,9,0.203527,0.250158,382.815873
CatalanWay_,CatalanWay_,,3,1,5,6,1,6,7,9,0.200722,0.240737,76.446429
Carolin92756159,Carolin92756159,,7,0,7,7,0,9,9,10,0.176658,0.207795,0
Dumacbcn,Dumacbcn,,2,93,0,93,96,0,96,0,0,0,0
merybrunet,merybrunet,,6,0,8,8,0,8,8,10,0.181401,0.218989,0
abtrba,abtrba,,4,0,5,5,0,5,5,9,0.215062,0.251725,0
hrincu67,hrincu67,,2,0,7,7,0,7,7,10,0.169005,0.203538,0
sanchezcastejon,sanchezcastejon,,1,17,0,17,17,0,17,0,0,0,0
pitagoras1545,pitagoras1545,,6,0,9,9,0,10,10,9,0.237447,0.282332,0
VicRF72,VicRF72,,1,11,3,14,12,5,17,11,0.159078,0.183786,1764.140801
psicoetyam,psicoetyam,,4,0,8,8,0,9,9,8,0.240034,0.286459,0
Pol_i_Roc,Pol_i_Roc,,6,32,13,45,32,16,48,8,0.282497,0.336952,23177.562309
saralidiaester,saralidiaester,,6,2,5,7,2,6,8,9,0.209408,0.246167,1148.394444
jmgarcia13,jmgarcia13,,6,2,3,5,2,3,5,1,1,1,3.75
ceciliaencina,ceciliaencina,,6,4,9,13,5,11,16,9,0.236797,0.27975,289.880952
Gustaff69,Gustaff69,,1,6,8,14,6,9,15,1,1,1,34.811905
castel_liv,castel_liv,,0,7,1,8,8,1,9,1,1,1,5.166667
RaiLopezCalvet,RaiLopezCalvet,,1,5,0,5,5,0,5,0,0,0,0
Beatriu20,Beatriu20,,2,0,5,5,0,5,5,1,1,1,0
piopio95027380,piopio95027380,,1,0,5,5,0,9,9,10,0.191197,0.23751,0
RMarsinyach,RMarsinyach,,6,0,5,5,0,5,5,9,0.21319,0.248446,0
LaSelenita,LaSelenita,,7,3,8,11,3,9,12,9,0.183809,0.214877,30.242857
GarritMagda,GarritMagda,,7,0,7,7,0,8,8,2,0.769231,0.85,0
RebeketaPelFred,RebeketaPelFred,,6,0,19,19,0,21,21,9,0.245004,0.328908,0
MonalisaDeLego,MonalisaDeLego,,4,0,8,8,0,10,10,11,0.177977,0.231021,0
GermanDeJuana,GermanDeJuana,,1,3,2,5,4,3,7,11,0.144112,0.158577,4.75
kepapere,kepapere,,1,2,5,7,2,5,7,10,0.168275,0.194498,286.75
Laia1961,Laia1961,,6,0,8,8,0,9,9,10,0.172909,0.208835,0
ras_curt,ras_curt,,7,0,10,10,0,11,11,9,0.224374,0.282548,0
Elsa_Punky,Elsa_Punky,,1,0,12,12,0,12,12,8,0.255223,0.32053,0
ASHZEN17,ASHZEN17,,3,1,19,20,1,26,27,8,0.268786,0.334387,0
GemmaVerdos,GemmaVerdos,,4,0,5,5,0,5,5,9,0.213241,0.251708,0
sinceridad75,sinceridad75,,1,3,2,5,3,2,5,9,0.198566,0.224143,633.342857
joanmariapique,joanmariapique,,6,10,7,17,10,8,18,10,0.171322,0.208261,12864.010044
caigueral2,caigueral2,,5,7,2,9,12,2,14,10,0.158986,0.177903,11679.232937
BenitezNeus,BenitezNeus,,2,0,9,9,0,11,11,10,0.171711,0.211347,0
freeredndwild,freeredndwild,,6,0,8,8,0,9,9,10,0.181639,0.222353,0
gregorioperezag,gregorioperezag,,6,0,10,10,0,11,11,10,0.18152,0.225113,0
benoitmortier1,benoitmortier1,,6,0,5,5,0,6,6,10,0.186577,0.217276,0
AssembSmallorcA,AssembSmallorcA,,6,5,0,5,5,0,5,0,0,0,0
Quim6749,Quim6749,,7,0,6,6,0,6,6,8,0.22506,0.266966,0
MmNovau,MmNovau,,6,6,3,9,6,3,9,10,0.16409,0.195498,1607.700512
thomasj76083568,thomasj76083568,,2,0,5,5,0,5,5,8,0.225832,0.25944,0
hannahbcn1,hannahbcn1,,4,5,20,25,5,20,25,8,0.274081,0.351178,7404.903958
M_Carme4667RiTA,M_Carme4667RiTA,,0,5,6,11,5,17,22,10,0.184369,0.225516,63.568687
MerigoMagrina,MerigoMagrina,,7,0,5,5,0,8,8,13,0.121865,0.148309,0
Esquitx17,Esquitx17,,4,1,15,16,1,28,29,8,0.277946,0.346135,9832.764902
EtsBorg,EtsBorg,,4,17,6,23,21,8,29,9,0.22716,0.267017,3823.620368
mariatubi,mariatubi,,2,0,5,5,0,5,5,15,0.091722,0.112926,0
ipanemals,ipanemals,,7,0,5,5,0,5,5,12,0.139742,0.171155,0
ValentinaLeni,ValentinaLeni,,7,0,13,13,0,17,17,9,0.218652,0.273602,0
Fredi66156814,Fredi66156814,,7,3,2,5,3,2,5,11,0.159838,0.181632,334.116667
MRRCCM,MRRCCM,,1,0,5,5,0,6,6,10,0.163037,0.189819,0
VallmajorJoan,VallmajorJoan,,6,0,8,8,0,11,11,13,0.120174,0.158785,0
ZanuyMunn,ZanuyMunn,,4,20,5,25,20,6,26,8,0.242531,0.276445,13429.124301
LastraColsa,LastraColsa,,6,0,6,6,0,7,7,9,0.210167,0.247758,0
perecortes48,perecortes48,,2,0,5,5,0,5,5,10,0.161722,0.187958,0
p_pmorales,p_pmorales,,2,0,6,6,0,6,6,9,0.214065,0.249576,0
cayetanaAT,cayetanaAT,,1,6,0,6,6,0,6,0,0,0,0
marti_benet,marti_benet,,0,0,12,12,0,58,58,9,0.222484,0.27713,0
PalabrasdePepe,PalabrasdePepe,,2,32,1,33,48,7,55,0,0,0,0
lloverpez,lloverpez,,2,0,7,7,0,7,7,10,0.15883,0.188456,0
dracs1714,dracs1714,,7,0,6,6,0,8,8,10,0.188179,0.222142,0
EspanaGlobal,EspanaGlobal,,1,8,0,8,17,0,17,0,0,0,0
miquelflorit,miquelflorit,,7,0,6,6,0,8,8,3,0.666667,0.783333,0
JGodall,JGodall,,2,0,5,5,0,5,5,10,0.176321,0.21326,0
tramptramptramp,tramptramptramp,,2,0,5,5,0,5,5,9,0.224013,0.265319,0
NbT59,NbT59,,1,0,5,5,0,8,8,10,0.18152,0.222198,0
1denmadrid,1denmadrid,,2,0,10,10,0,16,16,9,0.225989,0.285425,0
putopitillos2,putopitillos2,,1,1,7,8,1,8,9,10,0.185532,0.223244,7.809524
JaumePinyol2,JaumePinyol2,,2,0,11,11,0,19,19,8,0.2415,0.291551,0
pjcherto,pjcherto,,7,0,8,8,0,9,9,15,0.092642,0.121521,0
RosaPulido6,RosaPulido6,,2,0,5,5,0,5,5,13,0.122458,0.150967,0
CalPepi,CalPepi,,7,0,16,16,0,22,22,9,0.216551,0.274623,0
RamonSole5,RamonSole5,,0,4,1,5,4,1,5,1,1,1,11
EuroscepticBCN,EuroscepticBCN,,1,4,1,5,5,1,6,1,1,1,151.607764
Drehgestell,Drehgestell,,2,0,9,9,0,10,10,9,0.20718,0.25199,0
Cat72222,Cat72222,,2,10,1,11,10,1,11,10,0.178594,0.200338,732.539683
calix_cicero,calix_cicero,,6,0,6,6,0,7,7,13,0.132854,0.167101,0
Algonfdez,Algonfdez,,1,0,5,5,0,5,5,2,0.777778,0.857143,0
evaguillenhida1,evaguillenhida1,,2,0,5,5,0,6,6,13,0.121865,0.148309,0
XavierMolero,XavierMolero,,2,0,5,5,0,5,5,9,0.200145,0.233469,0
Jaume752,Jaume752,,6,2,7,9,2,7,9,9,0.211111,0.25594,282.441667
economiacat1,economiacat1,,6,16,5,21,19,6,25,9,0.211982,0.244183,3145.747785
santcodto,santcodto,,1,0,5,5,0,5,5,9,0.190281,0.220341,0
VINTISET,VINTISET,,1,0,14,14,0,14,14,9,0.26949,0.331056,0
AmatGemma,AmatGemma,,2,3,2,5,3,2,5,2,0.625,0.7,9
gemquim,gemquim,,4,3,8,11,3,13,16,8,0.250227,0.298572,1520.794589
assumptalba,assumptalba,,7,0,5,5,0,7,7,11,0.161422,0.190829,0
neus533,neus533,,2,0,15,15,0,16,16,8,0.261074,0.318283,0
tonicesteve,tonicesteve,,6,0,9,9,0,10,10,10,0.162194,0.200445,0
MasipAbad,MasipAbad,,2,0,10,10,0,12,12,9,0.225,0.276836,0
ANC_Mossos,ANC_Mossos,,6,33,1,34,33,1,34,14,0.099067,0.108152,2429.383333
terelprieto,terelprieto,,2,0,6,6,0,6,6,9,0.21145,0.250824,0
ramoncotarelo,ramoncotarelo,,1,8,2,10,8,2,10,8,0.218182,0.243733,14156.209037
albertdmcat,albertdmcat,,2,4,2,6,4,2,6,11,0.159907,0.18471,3717.27687
Quimberenguer,Quimberenguer,,2,0,6,6,0,6,6,9,0.223929,0.264962,0
negua597,negua597,,4,0,7,7,0,9,9,9,0.233083,0.277566,0
Hanxxs,Hanxxs,,1,2,3,5,8,3,11,10,0.156907,0.174183,380.106349
locuspolitikus,locuspolitikus,,4,0,9,9,0,13,13,9,0.189831,0.233621,0
EnriqueTgn,EnriqueTgn,,1,1,4,5,1,6,7,9,0.203826,0.245611,22.639286
SansMarcuello,SansMarcuello,,6,0,6,6,0,7,7,1,1,1,0
palaurepublica,palaurepublica,,6,0,6,6,0,8,8,15,0.092149,0.11743,0
CekaKuebel,CekaKuebel,,4,15,7,22,15,8,23,9,0.222581,0.275325,9779.469275
MarioBruned,MarioBruned,,7,0,12,12,0,14,14,12,0.154696,0.203938,0
SiqelEl,SiqelEl,,2,0,6,6,0,8,8,9,0.197434,0.230746,0
Juditpi1,Juditpi1,,7,4,3,7,4,3,7,1,1,1,9
3boigxcatalunya,3boigxcatalunya,,4,0,7,7,0,10,10,9,0.252047,0.299941,0
obffelius,obffelius,,6,0,12,12,0,12,12,8,0.250669,0.305711,0
VidalMoll,VidalMoll,,2,0,5,5,0,5,5,10,0.160231,0.187145,0
BirgittaDE2,BirgittaDE2,,7,5,9,14,9,16,25,8,0.218527,0.261253,1641.791506
MonikaDiethelm,MonikaDiethelm,,7,7,8,15,7,8,15,10,0.190476,0.229155,2673.342571
EvaMaraMaldona2,EvaMaraMaldona2,,6,0,8,8,0,9,9,9,0.206871,0.25519,0
CADCI,CADCI,,7,1,7,8,1,11,12,10,0.168498,0.200019,3509.986544
JofrePilos,JofrePilos,,7,5,6,11,6,9,15,2,0.636364,0.714286,209.409794
Esquerra_ERC,Esquerra_ERC,,5,13,4,17,14,5,19,1,1,1,2289.434524
xerramecat1,xerramecat1,,4,0,7,7,0,7,7,9,0.220205,0.263653,0
Atzucac1,Atzucac1,,1,0,6,6,0,7,7,10,0.178135,0.21699,0
pferrerm,pferrerm,,6,0,8,8,0,9,9,3,0.615385,0.729167,0
Lui_Jana,Lui_Jana,,2,0,5,5,0,5,5,2,0.857143,0.916667,0
paisnotanpetit,paisnotanpetit,,6,2,3,5,2,3,5,1,1,1,5
Sol106360328,Sol106360328,,7,0,11,11,0,14,14,9,0.207958,0.256548,0
Gefero66,Gefero66,,2,0,5,5,0,6,6,10,0.178218,0.212614,0
EsperitLLiure_,EsperitLLiure_,,1,0,5,5,0,6,6,10,0.172886,0.208683,0
JaumeTorras16,JaumeTorras16,,1,3,5,8,3,6,9,1,1,1,9.028571
Praga10948481,Praga10948481,,2,0,6,6,0,7,7,9,0.187036,0.217346,0
unaltredelleida,unaltredelleida,,2,0,12,12,0,13,13,8,0.246018,0.304621,0
joanmtusell,joanmtusell,,2,0,5,5,0,5,5,2,0.857143,0.916667,0
jaestrobaenus,jaestrobaenus,,2,0,5,5,0,5,5,10,0.172586,0.201786,0
Amelycie,Amelycie,,2,0,5,5,0,5,5,11,0.142563,0.16948,0
xevipuix,xevipuix,,2,0,11,11,0,12,12,9,0.225296,0.278226,0
psicolegsanc,psicolegsanc,,5,5,0,5,5,0,5,0,0,0,0
isern_toni,isern_toni,,2,1,4,5,1,5,6,11,0.154146,0.176152,0.5
DomeOrrit,DomeOrrit,,6,0,6,6,0,8,8,4,0.52381,0.712121,0
_NiNetaCat,_NiNetaCat,,1,2,3,5,2,3,5,9,0.226787,0.267337,9193.399867
__llKrisll__,__llKrisll__,,7,0,5,5,0,5,5,11,0.14498,0.175877,0
mbatet,mbatet,,2,0,8,8,0,8,8,9,0.201748,0.242074,0
DaniDvilaro,DaniDvilaro,,6,0,6,6,0,7,7,9,0.218627,0.255429,0
Totestaagafat,Totestaagafat,,2,0,5,5,0,5,5,13,0.118224,0.146406,0
CatalinaBarcel4,CatalinaBarcel4,,2,0,22,22,0,39,39,9,0.221691,0.298781,0
Altafaja1P,Altafaja1P,,4,23,12,35,36,18,54,8,0.244681,0.297265,5756.043431
BadiaSerra7,BadiaSerra7,,4,0,8,8,0,14,14,8,0.250679,0.300696,0
